번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1,세이노의 가르침,세이노 지음,데이원,2023,9.79117E+12,,0,,199.1,1,0,2023-03-30
2,서울대생의 비밀과외,"소린TV,안소린 [공]지음",다산에듀,2023,9.79113E+12,,1,,373.7,1,0,2023-03-30
3,(현직 고등학교 선생님들이 직접 고른) 생기부 필독서 100,주경아 외 지음,센시오,2023,9.79117E+12,,1,,376.6,1,0,2023-03-30
4,당연하게도 나는 너를,이꽃님 지음,우리학교,2023,9.79117E+12,,4,,813.7,1,0,2023-03-30
5,고요한 우연,김수빈 지음,문학동네,2023,9.78895E+12,,0,,813.7,1,0,2023-03-30
6,환상서점,소서림 지음,해피북스투유,2023,9.79116E+12,,0,,813.7,1,0,2023-03-30
7,한국형 가치투자,"최준철,김민국 [공]지음",이콘,2023,9.79119E+12,,0,,327.85,1,0,2023-03-30
8,파쇄,구병모 지음,위즈덤하우스,2023,9.79117E+12,,0,,813.7,1,0,2023-03-30
9,트러스트,에르난 디아스 지음;강동혁 옮김,문학동네,2023,9.78895E+12,,0,,843.6,1,0,2023-03-30
10,초수익 성장주 투자,마크 미너비니 지음;김태훈 옮김,이레미디어,2023,9.79119E+12,,0,,327.856,1,0,2023-03-30
11,제주탐묘생활,이신아 지음,야옹서가,2023,9.79119E+12,,0,,818,1,0,2023-03-30
12,세상은 실제로 어떻게 돌아가는가,바츨라프 스밀 지음;강주헌 옮김,김영사,2023,9.78893E+12,,0,,331.541,1,0,2023-03-30
13,세상 끝의 카페,존 스트레레키 지음;고상숙 옮김,클레이하우스,2023,9.7912E+12,,0,,199.1,1,0,2023-03-30
14,사랑의 이해,이혁진 지음,민음사,2019,9.78894E+12,,0,,813.7,1,0,2023-03-30
15,사랑의 꿈,손보미 지음,문학동네,2023,9.78895E+12,,0,,813.7,1,0,2023-03-30
16,들숨에 긍정 날숨에 용기,지나영 지음,자음과모음,2023,9.78895E+12,,4,,199.1,1,0,2023-03-30
17,기분이 태도가 되지 말자,김수현 지음,하이스트,2022,9.7912E+12,,0,,181.7,1,0,2023-03-30
18,거인의 노트,김익한 지음,다산북스,2023,9.79113E+12,,0,,325.211,1,0,2023-03-30
19,양아치의 스피치,네온비 글;김인정 그림,문학동네,2023,9.78895E+12,,0,,813.7,1,0,2023-03-30
20,숲속의 담,다홍 글·그림,에이템포미디어,2023,9.79117E+12,,0,7,813.7,1,0,2023-03-30
21,숲속의 담,다홍 글·그림,A.tempo Media(에이템포미디어),2022,9.79117E+12,,0,6,813.7,1,0,2023-03-30
22,숲속의 담,다홍 글·그림,A.tempo Media(에이템포미디어),2022,9.79116E+12,,0,5,813.7,1,0,2023-03-30
23,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,17,813.62,1,0,2023-03-30
24,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,18,813.62,1,0,2023-03-30
25,내일,라마 글·그림,RHK(알에이치코리아),2020,9.78893E+12,9.78893E+12,0,9,818,1,0,2023-03-30
26,토지 인물사전,이상진 지음,마로니에북스,2012,9.78896E+12,,0,,813.62,1,0,2023-03-30
27,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,20,813.62,1,0,2023-03-30
28,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,19,813.62,1,0,2023-03-30
29,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,16,813.62,1,0,2023-03-30
30,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,15,813.62,1,0,2023-03-30
31,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,14,813.62,1,0,2023-03-30
32,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,13,813.62,1,0,2023-03-30
33,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,12,813.62,1,0,2023-03-30
34,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,11,813.62,1,0,2023-03-30
35,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,10,813.62,1,0,2023-03-30
36,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,9,813.62,1,0,2023-03-30
37,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,8,813.62,1,0,2023-03-30
38,토지,박경리 지음,마로니에북스,2012,9.78896E+12,9.78896E+12,0,7,813.62,1,0,2023-03-30
39,토지,박경리 지음,마로니에북스,2012,9.78896E+12,9.78896E+12,0,3,813.62,1,0,2023-03-30
40,토지,박경리 지음,마로니에북스,2013,9.78896E+12,9.78896E+12,0,2,813.62,1,0,2023-03-30
41,쇼코의 미소,최은영 지음,문학동네,2016,9.78895E+12,,0,,813.7,1,0,2023-03-30
42,(영어가 술술 나오는) 만능패턴 100,세리나 황 지음,교보문고,2023,9.79116E+12,,0,,747.5,1,0,2023-03-30
43,"기억해, 언젠가 너의 목소리가 될 거야",김청연 지음;간장 그림,책폴,2022,9.7912E+12,,4,,337.1,1,0,2023-03-30
